證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1904","正隆","2,922,613","61,116,273","20.80","21.10","20.65","21.00","+0.30","1,405"
"1905","華紙","774,444","5,652,283","7.24","7.34","7.24","7.30","+0.06","271"
"1906","寶隆","216,621","2,584,342","11.95","12.00","11.85","12.00","+0.10","112"
"1907","永豐餘","3,651,802","45,211,798","12.20","12.50","12.20","12.35","+0.25","1,349"
"1909","榮成","3,126,231","40,875,523","13.10","13.15","12.85","13.10","+0.10","1,080"
"2002","中鋼","13,906,838","271,707,530","19.65","19.65","19.45","19.55","+0.05","5,000"
"2002A","中鋼特","20,030","1,066,623","53.50","53.50","53.10","53.40","-0.10","19"
"2006","東和鋼鐵","1,183,173","26,650,292","22.45","22.70","22.35","22.70","+0.35","621"
"2007","燁興","53,729","206,633","3.86","3.91","3.79","3.84","-0.02","44"
"2008","高興昌","35,000","430,500","12.30","12.30","12.30","12.30","X0.00","2"
"2009","第一銅","62,933","455,456","7.30","7.30","7.17","7.26","+0.06","45"
"2010","春源","160,571","1,479,579","9.17","9.24","9.17","9.23","+0.06","59"
"2012","春雨","83,293","1,395,264","16.80","16.85","16.70","16.80"," 0.00","47"
"2013","中鋼構","87,200","1,814,100","21.10","21.10","20.65","20.80","+0.05","61"
"2014","中鴻","2,970,524","21,589,754","7.22","7.37","7.21","7.27","+0.11","933"
"2015","豐興","464,030","23,555,134","50.70","51.20","50.50","50.80","+0.10","237"
"2017","官田鋼","106,340","676,234","6.44","6.45","6.32","6.33","-0.06","55"
"2020","美亞","653,341","10,617,790","16.30","16.35","16.15","16.25","+0.10","193"
"2022","聚亨","174,383","710,627","4.07","4.11","4.05","4.06","-0.01","59"
"2023","燁輝","733,460","6,448,197","8.80","8.85","8.77","8.80","+0.03","316"
"2024","志聯","35,010","424,470","12.10","12.15","12.05","12.05"," 0.00","13"
"2025","千興","66,000","93,240","1.43","1.43","1.35","1.37","-0.01","18"
"2027","大成鋼","5,203,026","137,552,977","26.70","26.90","26.20","26.30","-0.10","2,497"
"2028","威致","23,971","223,569","9.35","9.35","9.25","9.35"," 0.00","19"
"2029","盛餘","116,149","1,814,451","15.60","15.70","15.55","15.55","-0.05","44"
"2030","彰源","404,000","4,046,240","10.10","10.10","9.99","10.05"," 0.00","132"
